text,emotion,text_len
"Got a message from my bestie, made my day.",joy,9
i do enjoy and love my profession its just that when compared to others i feel envious of the fact that some can just travel all they want and sometimes expense paid at that,anger,34
i was feeling doubtful of myself as a woman and i was a little bit afraid of the world and how they were to perceive me as a visually impaired person,fear,31
i feel like had i been more insecure like the girls around me perhaps id actually have the determination to succeed at a diet,fear,24
Missing home and feeling lonely in this hostel. I messed up my presentation and I can't stop replaying it. My friend canceled plans last minute and I'm upset.,sadness,28
i feel that i myself am tragic and there for should live in tragedy,anger,14
i was saying it s not that i m high strung it s just that i don t often feel carefree and crafty so when the mood hits me i make the most of it,joy,35
i try to feel confident about it but when ever our eyes meet i feel strong like in gym we have the exercise machines and i could only do lbs on average and i always wanted to do,anger,38
i wont talk to you anymore i feel frustrated on you,anger,11
"Usual play rehearsal, lines memorized. , show nearing.",neutral,8
im feeling fiendishly handsome and i strongly suggest you to take a tour to nivaro shop because there are other skins available and i think whatever your style you will find what you want,joy,34
i am in thailand i feel relaxed but as soon as i get off a plane and back in the uk i get a headache and by back and shoulders tense up and i hate it,disgust,36
"Whew, finished that crazy hard session. A bit wiped, but then that awesome feeling kicked in. So good! 😊",joy,19
Created spreadsheet plotting my mock-test percentile trajectory. Seeing upward curve gave rare hope.,joy,13
Crush started dating my roommate. Now I have to watch them cuddle on the balcony every evening. College love is a cruel joke.,sadness,23
i regret the whole green wall thing i was feeling adventurous at the time but wish id gone for white all round,joy,22
im not going to contemplate the best possible way to express my feelings on something if im angry because unless im talking to someone i care about ill just go ahead and say what i feel regardless of how obnoxious arrogant or cringe it may sound,anger,46
ive had two drinks and im back working at home surrounded by food im not feeling satisfied,joy,17
i am open about something we are currently dealing with like sams self hurting anxiety or my issue with steves game systems i feel really really vulnerable,fear,27
i feel completely welcomed and encouraged to spill open onto canvas which is what i will do,anger,17
i tried to explain myself the more i got this overwhelming feeling that everyone hated me,disgust,16
I feel so attacked or insulted sumtimes it's like dude where's this even comming from??!!?!?,anger,15
"Got the invite for that big event. Part of me's excited, but mostly just anxious about being there. 😰",fear,19
Finally printed project report after 5 paper jams.,neutral,8
im feeling generous i guess,joy,5
i feel totally assured of my salvation by grace through faith in christ see ephesians romans romans i have no concerns of hell thank you lord,fear,26
i tend to think that it kinda contributed to my medium intelligence and made me understand and feel things in a clever and sensible way in the visual arts field especially but i m always feeling that i m losing that more and more,joy,44
i feel satisfied after drinking the squirt,joy,7
i doubt it and considering what people on that side of the political spectrum have been calling people like me both before and in the two weeks since this election which has been even worse btw im not feeling in a very generous mood,neutral,44
"Mood is low, can't shake this gloom. Missing home and feeling lonely in this hostel.",sadness,15
i feel so lousy if i am not able to strike or talk to someone and make them happy laugh,joy,20
i do not know why i still feel unloved,sadness,9
i do feel agitated at times but i got used to it overtime,fear,13
i feel incredibly remorseful for that but i just dont know how to make the sadness and stress stop,sadness,19
i do not want others to perceive me as inferior for being fat which comes from me defining and perceiving myself as inferior for being fat and on the flip side i want to loose weight and i say that i will loose weight in order to make myself feel superior compensate for the feeling of inferiority,joy,57
im feeling irritable and my body which is used to a busy schedule packed with running biking and swimming feels lethargic stiff and low energy from lack of movement over the past days,anger,33
i feel like i should just quit everything sit in my room all day and write sad poetrys about my existential angst,sadness,22
i feel so blessed to live in a temperate southern state where outdoor activities are feasible and even easy to enjoy year round,joy,23
i feel so irritated and pissed with myself for losing my wallet,anger,12
